category,Description
Lait maternisé,
Laits 1er âge,Laits pour bébé
Plat de légumes et féculents pour bébé dès 8 mois,Petits pots pour bébé
Bledine,Biscuit aux céréales pour petit déjeuner enrichis en vitamines et minéraux
Compotes pommes framboise,Compotes de pomme
Compotes pommes abricot,Compotes de pomme
Purées de légumes,Purées
Compotes pommes pêche,Compotes de pomme
Laits infantiles en poudre,Laits 1er âge
Plats préparés au poisson,Plats préparés
Gins,Alcools forts
Gins,Hard liquors
Liqueurs de pommes,Liqueurs
Infusions Bonne Nuit,Tisanes de plantes mélangées
Infusions Bonne Nuit,Infusions en sachets
Infusions,Thés verts
Infusions,Boissons à base de végétaux
Infusions,Thés
Champagnes français,Champagnes
Laits entiers en poudre,Laits en poudre
Laits en poudre écrémés,Laits en poudre
Laits concentrés non sucrés,Laits concentrés
Laits concentrés non sucrés,Laits demi écrémés
Laits en poudre,Boissons lyophilisées
Laits en poudre,Boissons sans sucre ajouté
Laits en poudre,Laits de vache
Caramel sale,Caramels au beurre salé
Laits entiers concentrés,Laits concentrés non sucrés
Laits entiers concentrés,Laits concentrés sucrés
Laits entiers concentrés,Laits ESL
Chocolat au lait aux fruits secs,Chocolats aux noisettes
Chocolat au lait aux fruits secs,Bonbons de chocolat au lait
Chocolats au lait aux noisettes,Chocolats aux noisettes
Chocolats au lait aux noisettes,Chocolats au lait fourrés
Confitures de cerises,Confitures de fruits rouges
Confitures de cerises,Confitures
Strawberry jams,Berry jams
Confitures d'abricot,Confitures
Confitures d'abricot,Confitures multifruits
Confitures de pêches,Confitures artisanales
Confitures de pêches,Confitures
Confitures de framboises,Confiture de fruits allégée en sucres
Confitures de framboises,Confitures de fruits rouges
Confitures de myrtilles,Confitures de fruits rouges
Confitures de mirabelles,Confitures de prunes
Confitures,Confitures et marmelades
Gelées de groseilles,Gelées de fruits
Gelées de mûres,Gelées de fruits
Compotes d'abricot,Compotes
Compotes de pêche,Compotes
Compote de rhubarbe sucree,Compotes de rhubarbe
Confitures de figues,Confitures
Marmelades d'oranges,Marmelades d'oranges amères
Marmelades d'oranges,Confitures assorties
Marmelades d'oranges,Marmelades
Compotes pommes rhubarbe,Compotes de pomme
Compotes pommes vanille,Compotes de pomme
Compotes pommes banane,Compotes de pomme
Jus d'orange pur jus,Jus d'orange sans pulpe
Jus d'orange pur jus,Jus d'orange sanguine
Jus d'orange pur jus,Jus d'orange frais
Jus d'orange pur jus,Jus d'orange avec pulpe
Jus d'orange pur jus,Jus de fruits pur jus
Jus de pamplemousse pur jus,Jus de pamplemousse rose
Jus de pommes pur jus,Jus de pomme
Jus de clémentine,Jus de fruits pur jus
Jus de clémentine,Jus de fruits
Jus d'ananas pur jus,Jus de fruits pur jus
Boissons aux fruits,Boissons gazeuses
Boissons aux fruits,Boissons à base de végétaux
Jus de raisin,Jus de fruits pur jus
Jus de raisin,Jus de fruits
Jus de raisin,Boissons sans alcool
Light compotes,Apple compotes
Fraisier,Pâtisseries
Pralines,Assortiments de bonbons de chocolat
Assortiments de bonbons de chocolat,Bonbons de chocolat
Assortiments de bonbons de chocolat,Barres chocolatées
Extra fine dark chocolates,Dark chocolates
Extra fine dark chocolates,Dark chocolate with caramel
Chocolats au lait,Chocolats
Chocolats au lait,Chocolats noirs
Milk chocolate with caramel,Caramel chocolates
Chocolats noirs aux amandes,Chocolats aux amandes
Chocolats au lait extra fin,Chocolats au lait
Chocolates with hazelnuts,Chocolates
Chocolats noirs aux fèves de cacao,Chocolats noirs
Chocolats noirs extra fin,Chocolats noirs à la fleur de sel
Chocolats noirs extra fin,Chocolats noirs aux noisettes
Chocolats noirs extra fin,Chocolats noirs
Chocolats,Bonbons de chocolat
Chocolats,Cacao et dérivés
Chocolats noirs fourrés,Chocolats noirs extra fin
Chocolats noirs fourrés,Chocolats fourrés au praliné
Chocolats noirs fourrés,Chocolats fourrés
Chocolats noirs fourrés,Dark chocolate bar filled with praline
Tablette de chocolat,Chocolates
Tablette de chocolat,Chocolats au lait fourrés
Chocolat noir en tablette extra dégustation à 70% de cacao minimum,Chocolats au lait
Chocolat noir en tablette extra dégustation à 70% de cacao minimum,Chocolats à la fleur de sel
Chocolat noir en tablette extra dégustation à 70% de cacao minimum,Chocolats noirs
Chocolat noir en tablette extra dégustation à 70% de cacao minimum,Chocolats noirs en tablette
Chocolats aromatisés,Chocolats noirs fourrés
Chocolats aromatisés,Boissons sans sucre ajouté
Chocolats au lait fourré au praliné,Chocolats au lait fourrés
Chocolats noirs aromatisés,Chocolats aromatisés
Chocolats noirs aromatisés,Schokoladen
Chocolats noirs aromatisés,Chocolates
Chocolats noirs aromatisés,Chocolates negros
Chocolats noirs salés,Chocolats salés
Chocolats au lait fourrés,Chocolats fourrés au praliné
Chocolats au lait fourrés,Chocolats au lait extra fin
Chocolats au lait fourrés,Chocolats aux céréales
Chocolats au lait fourrés,Chocolats noirs fourrés
Chocolats au lait fourrés,Chocolats fourrés
Filled chocolates,Chocolates
Filled milk chocolates,Filled chocolates
Chocolates,Confectioneries
Chocolats à la liqueur,Chocolats
Chocolats à la liqueur,Chocolats au lait fourrés
Chocolats blancs,Milk chocolates
Chocolats blancs,Aides culinaires
Chocolats blancs,Chocolats
Pastis,Boissons alcoolisées
Pastis,Anis distillé
Digestifs,Boissons alcoolisées
Viandes en conserve,Viandes en conserve
Viandes en conserve,Viandes
Corned beef,Viandes en conserve
Choucroutes garnies,Choucroutes
Choucroutes garnies,Plats préparés en conserve
Choucroutes garnies,Choucroute
Potees aux choux,Potees
Bœufs bourguignons,Beef stews
Bœufs bourguignons,Plats préparés en conserve
Bœufs bourguignons,Ragoûts de boeuf
Bœufs bourguignons,Plats préparés réfrigérés
Petits salés aux lentilles,Plats à base de lentilles
Plats préparés en conserve,Légumes préparés
Plats préparés en conserve,Plats préparés
Plats préparés en conserve,Morues
Choucroute,Choucroutes sans garniture
Gratins dauphinois,Plats préparés en conserve
Gratins dauphinois,Plats préparés surgelés
Gratins dauphinois,Plats préparés à réchauffer au micro ondes
Gratins dauphinois,Gratins de pomme de terre
Gratins dauphinois,Plats préparés d'origine végétale
Biscuits feuilletés,Biscuits apéritifs
Biscuits feuilletés,Biscuits au chocolat
Puffed salty snacks made from potato,Puffed salty snacks
Crackers,Salty sesame snacks
Crackers,Meals
Crackers,Appetizers
Boissons à base de vin,Boissons alcoolisées
Natürliches Mineralwasser,Mineralwasser
Eaux minérales naturelles,Eaux minérales
Eau minérale naturelle non gazeuse,Boissons sans sucre ajouté
Eau minérale naturelle non gazeuse,Eau potable
Eau minérale naturelle non gazeuse,Eaux minérales naturelles
Eau minérale naturelle non gazeuse,Eaux de montagne
Eaux minérales,Eaux de sources
Boisson à l’eau minérale aromatisée,Eaux
Eaux aromatisées sans sucre ajouté,Eaux de sources aromatisées
Eaux aromatisées sans sucre ajouté,Eaux minérales gazeuses
Eaux aromatisées sans sucre ajouté,Eaux aromatisées
Eau aromatise,Eaux aromatisées sans sucre ajouté
Après rasage,
Herbes aromatiques,Plantes aromatiques
Basilic surgelé,Basilic
Échalotes,Oignons
Échalotes,Oignons et dérivés
Persil surgelé,Persil
Persil bio,
Ail,Ail et dérivés
Fromages râpés,Comté
Fromages râpés,Fromages de vache
Fromages râpés,Fromages
Fromages râpés,Fromages pasteurisés
Fromages râpés,Grana Padano
Fromages râpés,Cheddars
Fromages râpés,Emmentals
Fromages râpés,Fondues savoyardes
Fromages râpés,Gruyères de France
Fromages du nord pas de calais,Fromages en tranches
Fromages du nord pas de calais,Mimolettes jeunes
Fromages du nord pas de calais,Mimolettes
Fromages du nord pas de calais,Mimolettes vieilles
Goudas,Fromages à pâte pressée non cuite
Goudas,Fromages des Pays Bas
Dés de fromages,Fromages à pâte pressée non cuite
Fromages à pâte pressée non cuite,Fromages de vache
Fromages à pâte pressée non cuite,Fromages
Brie de Meaux,Bries
Fromage à pâte pressée Fromage apéritif en cube,Fromages pasteurisés
Herbes,Produits de coriandre
Menthe,Herbes aromatiques
biscuits fourrés,Chocolate biscuits
Strawberry biscuits,Filled biscuits
Strawberry biscuits,Cakes
Tartelettes au chocolat,Tartelettes
Tartelettes au chocolat,Biscuits
Tartelettes au chocolat,Biscuits au chocolat
Chicorée,Chicorée soluble
Magrets de canard,Canards
Bloc de Foie Gras de Canard avec morceaux,
Magrets de canard fumés,Magrets de canard
Smoked trouts,Trouts
Farines de blé,Farines de céréales
Farines de blé type T45,Farines de blé
Farines pâtissières,Farines de blé type T45
Farine de gateau,Farines de blé
Farines de froment,Farines de blé
Préparations pour pains,Produits lyophilisés à reconstituer
Préparations pour pains,Pains
Préparations pour desserts,Aides à la pâtisserie
Préparations pour desserts,Aides culinaires
Amandes décortiquées,Amandes entières
Amandes décortiquées,Amandes
Amandes décortiquées,Aides à la pâtisserie
Amandes décortiquées,Amandes grillées
Dattes Deglet Nour,Dattes
Cacahuètes grillées,Cacahuètes caramélisées
Cacahuètes grillées,Cacahuètes
Figues sèches,Fruits secs
Eaux minérales gazeuses,Boissons sans sucre ajouté
Eaux minérales gazeuses,Eaux minérales naturelles
Eaux minérales gazeuses,Eaux gazeuses
Unsweetened beverages,Non alcoholic beverages
Unsweetened beverages,Natural mineral waters
Unsweetened beverages,Oat based drinks
Eaux minerales aromatisees,Eaux gazeuses aromatisées
Eaux gazeuses aromatisées,Boissons sans sucre ajouté
Eaux gazeuses aromatisées,Eaux aromatisées
Boissons,
Eau minerale gazifiee,Boissons avec sucre ajouté
Boissons  Eaux  Eaux de sources,Mineral waters
Eau plate,Eaux
Double concentré de tomate,Tomates en conserve
Double concentré de tomate,Tomates et dérivés
Chocolat noir pâtissier en tablette à 40% de cacao minimum,Chocolats noirs
Cancoillottes,Fromages à pâte fondue
Coquillettes,Spaghetti
Coquillettes,Pâtes aux œufs
Coquillettes,Pâtes sèches
Coquillettes,Pâtes sèches au blé complet
Coquillettes,Pâtes alimentaires
Coquillettes,Pâtes de blé dur
Spaghettis aux œufs,Nouilles aux oeufs
Torsettes aux œufs,Torsettes
Fromages Dégustations,Fromages pour enfants
Fromages Dégustations,Frais
Fromages Dégustations,Cheddar en tranches
Fromages Dégustations,Fromages en tranches
Fromages Dégustations,Fromages apéritif
Fromages Dégustations,Fromages fondus
Fromages de vache,Fromages
Snacking,Fromages Dégustations
Ports saluts,Fromages industriels
Fromage pour salade,Fromages Dégustations
Fromages a l echalote et ciboulette,Fromages industriels
Fromages sauces,Salsas
Fromages pasteurisés,Fromages de vache
Fromages pasteurisés,Fromages des Pays Bas
Fromages pasteurisés,Fromages à pâte pressée non cuite
Fromages pasteurisés,Fromages
Fromages pasteurisés,Fromages à pâte molle à croûte fleurie
Fromages pasteurisés,Mozzarella
Fromages pasteurisés,Fromage frais aromatisé aux fruits
Fromages pasteurisés,Fromages de chèvre
Fromages pasteurisés,Fromages à pâte persillée français
Fromages pasteurisés,Burrate
Fromages pasteurisés,Emmentals
Fromages pasteurisés,Bries
Fromages pasteurisés,Fromages de France
Fromages à tartiner,Fromages de vache
Fromages à tartiner,Fromages à pâte fraîche
Fromages à tartiner,Produits à tartiner salés
Fromages à tartiner,Fromages pasteurisés
Substituts de fromage en tranche,Substituts du fromage
Alternative végétale au fromage,
Substituts du fromage,Substituts de produits laitiers
Fromages fouettés,Fromages à tartiner
Fromage fondu double crème environ 31% MG,Fromages à pâte fondue
Fromage à pâte molle à croûte lavée au lait pasteurisé,Fromages à pâte molle à croûte fleurie
Cheeses,Fermented milk products
Fromages apéritif,Fromages à pâte fondue
Fromages apéritif,Fromages industriels
Tzatzíki,Sauces
Chips de pommes de terre,Chips
Olives vertes farcies aux amandes,Olives vertes farcies
Olives vertes farcies aux amandes,Olives vertes en saumure
Capres au vinaigre,Pickles d'origine végétale
Vinaigres blancs,Vinaigres d'alcools
Piccalillis,Sauces
Lagers,Cervezas
Lagers,Bières
Bières blanches,Bières
Bières sans alcool,Boissons sans alcool
Boissons ,Lagers
Pêches au sirop,Fruits au sirop
Poires au sirop,Fruits au sirop
Cocktail de fruits au sirop,Salades de fruits au sirop
Cocktail de fruits au sirop,Fruits au sirop
Ananas en conserve,Fruits en conserve
Ananas en conserve,Ananas
Desserts de fruits,Fruits et produits dérivés
Desserts de fruits,Crumbles aux pommes
Fruits au sirop,Fruits en conserve
Fruits au sirop,Salades de fruits
Haricots verts surgelés,Légumineuses frais
Haricots verts surgelés,Haricots verts
Flageolets en conserve,Haricots en conserve
Salades vertes,Légumes feuilles
Salades vertes,Laitues
Salades vertes,Laitue iceberg
Salades vertes,Mâches
Salades vertes,Légumes frais
Mâches,Légumes feuilles
Mâches,Légumes frais
Taboulés orientaux,Taboulés
Taboulés,Frais
Taboulés,Plats préparés frais
Taboulés,Plats préparés
Crudité,Macédoines de légumes
Crudité,Meals
Lentilles préparées,Plats préparés en conserve
Lentilles préparées,Lentilles
Lentilles préparées,Lentilles cuisinées en conserve
Lentilles préparées,Lentilles en conserve
Lentilles préparées,Lentilles vertes
Lentilles préparées,Plats préparés d'origine végétale
Lentilles préparées,Salades de lentilles
Lentilles préparées,Mélange de céréales et légumineuses
Feuilles d'épinard congelées,Épinards surgelés
Legumes preparees,Lentilles préparées
Confits d'aubergines,Aubergines préparées
Mélanges de légumes surgelés,Mélanges de légumes
Mélanges de légumes surgelés,Poêlées
Légumes surgelés,Aliments à base de plantes surgelés
Petits pois surgelés,Petits pois
Taboulés au poulet,Poulets au curry
Taboulés au poulet,Taboulés
Poivrons en conserve,Poivrons
Purees surgelees,Purées de légumes
Legume congele,Purées de légumes
Plats à base de riz,Plats préparés au poisson
Plats à base de riz,Salades composées
Plats à base de riz,Plats préparés
Crudités,Crudité
Crudités,Choux rouges frais
Aubergines à la provençale,Ristes d'aubergines
Courgettes,Légumes surgelés
Courgettes,Légumes et dérivés
Courgettes,Légumes en conserve
Champignons de Paris émincés,Champignons de Paris en conserve
Champignons de Paris émincés,Champignons de Paris émincés en conserve
Champignons de Paris émincés,Champignons de Paris surgelés
Épinards,Légumes feuilles
Épinards surgelés,Épinards
Petits pois surgelés précuits,Petits pois surgelés
Poêlées à la paysanne,Frozen ready made meals
Plats préparés surgelés,Préparations de poisson
Plats préparés surgelés,Lasagnes préparées
Plats préparés surgelés,Mélanges de légumes surgelés
Plats préparés surgelés,Friands
Plats préparés surgelés,Plats au bœuf
Plats préparés surgelés,Feuilleté salé
Plats préparés surgelés,Plats à base de pâtes
Plats préparés surgelés,Plats préparés au poisson
Plats préparés surgelés,Filets de cabillaud
Plats préparés surgelés,Poêlées
Plats préparés surgelés,Plats préparés
Plats préparés surgelés,Plats au porc
Poêlées méditerranéenne,Poêlées
Champignons,Champignons et produits dérivés
Champignons de Paris entiers en conserve,Champignons de Paris en conserve
Champignons de Paris entiers en conserve,Champignons de Paris émincés en conserve
Champignons de Paris émincés en conserve,Champignons de Paris en conserve
Champignons de Paris,Champignons 🍄 de Paris
Champignons de Paris,Champignons
Salades piémontaises au jambon,Salades piémontaises
Aliments à base de fruits et de légumes,
Haricots verts,Légumes et dérivés
Microwave meals,Meals with chicken
Microwave meals,Frozen ready made meals
Microwave meals,Meals
Microwave meals,Céréales préparées
Crumble de légumes,Crumbles
Aubergines préparées,Aubergines
Parmentier de legumes,Parlent ils de patates douces
Palets de légumes préfrits surgelés,Légumes préparés
Frozen mixed vegetables,Mixed vegetables
Carottes râpées,Entrées froides
Carottes râpées,Carottes
Celeriac in remoulade sauce,Prepared vegetables
Salades de betteraves,Betteraves
Salades de betteraves,Salades composées
Concombres,Cornichons
Concombres,Salades de concombres
Salades,Mesclun
Salades de riz,Plats à base de riz
Champignons de Paris en conserve,Champignons en conserve
Champignons de Paris en conserve,Champignons de Paris
Miels liquides,Miels de fleurs
Miels liquides,Miels
Miels liquides,Miels d'acacia
Miels crémeux,Miels d'eucalyptus
Miels crémeux,Miels de fleurs
Miels crémeux,Miels de montagne
Miels crémeux,Miels français
Miels crémeux,Miels
Miels d'acacia,Miels
Miels des Alpes,Miels de montagne
Miels de lavande de provence,Miels de lavande
Préparations à base de miel et gelée royale,Préparations à base de miel
Miels de fleurs,Miels
Miels,Édulcorants
Miels de montagne,Miels de fleurs
Miels de montagne,Miels français
Miels français,Miels
Préparations pour crêpes,Préparations pour desserts
Sirops d'érable,Sirops simples
Sirops traditionnels,Sirops d'agave
Sirops traditionnels,Sirops d'érable
Sirops traditionnels,Boissons avec sucre ajouté
Sirops d'érable ambrés,Sirops d'érable
Sirops d'agave,Sirops simples
Sirops d'agave,Sirops aromatisés
Cakes aux fruits,Gâteaux
Fromage à pâte molle double crème environ 30% MG,Fromages à pâte molle à croûte lavée
Fromages à pâte molle,Brique
Fromages à pâte molle,Fromages industriels
Sirops de pêche,Sirops aromatisés
Sirops de citron,Sirops aromatisés
Fraises,Fruits rouges
Sirops de framboise,Sirops aromatisés
Sirops,
Sirops aromatisés,Sirops
Sirops aromatisés,Boissons édulcorées
Sirops aromatisés,Sodas
Sirops aromatisés,Flavoured syrups
Sirops de grenadine,Sirops aromatisés
Sirops aromatisés sans sucre,Sirops aromatisés
Sirops aromatisés sans sucre,Sirops de citron
Sirops aromatisés sans sucre,Artificially sweetened beverages
Sirops aromatisés sans sucre,Sodas au cola light
Blancs de poulet en tranches,Blancs de volaille en tranches
Blancs de poulet en tranches,Filets de poulet
Blancs de dinde en tranches,Blancs de volaille en tranches
Poultries,Charcuteries diverses
Rotis de boeuf,Bœuf
Charcuteries,Viandes et dérivés
Charcuteries,Plats préparés
Charcuteries,Viandes
Jambon cuit supérieur,Jambons blancs
Jambon cuit supérieur,Jambon cuit supérieur découenné
Blancs de poulet rôti à la broche,Blancs de poulet en tranches
Viandes  Charcuteries  Charcuteries cuites  Blancs de volaille en tranches  Blancs de dinde en tranches,
Jambons blancs,Jambons blancs
Jambons blancs,Jambons
Jambons blancs,Prepared meats with less salt
Jambons blancs,Porc et dérivés
Jambons blancs,Porc
Jambons,Charcuteries
Emincés de poulet,Poulets
Allumettes de jambon de volaille,Dés de jambon
Jambon de porc à cuire,Jambons
Rôtis de porc,Rôti de porc cuit
Rôtis de porc,Porc
Whisky américain,Whiskys
Sauces aux champignons,Sauces aux champignons et à la crème
Quenelles,Plats préparés
Soupes de légumes réfrigérées,Soupes réfrigérées
Eaux gazeuses,Eaux minérales
Eaux gazeuses,Eaux de sources
Eaux gazeuses,Eaux
Guimauves,Bonbons
Snacks sucres,Confiseries
Bonbons gélifiés,Bonbons
Gummi candies,Candies
Rotelle,Candies
Oursons gélifiés,Gummi candies
Crocodiles gélifiés,Bonbons gélifiés
Snacks sucrés,Desserts
Snacks sucrés,Beignets sucrés
Snacks sucrés,Boudoirs
Snacks sucrés,Confiseries chocolatées
Snacks sucrés,Snacks
Snacks sucrés,Confiseries
Snacks sucrés,Cookies au chocolat et aux noisettes
Gummy crocodiles,Gummi candies
Confiseries,Snacks sucrés
Confiseries,Cacao et dérivés
Guimauves enrobées de chocolat,Guimauves
Acid gummy candies,Gummi candies
Sweet snacks,Snacks
Confiserie gélifiée,Bonbons gélifiés
Bonbons acidulés gélifiés,Bonbons gélifiés
Sucrerie bonbons,Bonbons gélifiés
Marshmallows,Candies
Confits de canard,Plats préparés à réchauffer au micro ondes
Confits de canard,Plats au canard
Confits de canard,Canards
Terrines de canard,Terrines de volailles
Gherkins in sweet and sour sauce,Extra fine gherkins
Cornichons,Pickles de concombres
Crèmes de cassis,Liqueurs
Crème de fruits,
Crêpes dentelle salées,Biscuits apéritifs
Blended scotch whisky,Scotch whisky
Tequilas,Alcools forts
Eau minérale naturelle légèrement gazéifiée,Eau minérale naturelle gazéifiée
Mueslis au chocolat,Mueslis
Mueslis aux fruits à coque,Céréales aux fruits à coques
Céréales aux graines anciennes,
Champignons séchés,Aliments à base de plantes séchées
Lentilles vertes,Lentilles
Lentille verte du Puy,Lentilles vertes
Pois cassés secs,Pois secs
Lentilles corail,Lentilles rouges
Lentilles blondes,Lentilles
Lentilles corail sèches,Lentilles corail
Légumineuses,
Boudins blancs,Boudins
Boissons sans alcool,Jus de fruits
Boissons sans alcool,Vins
Boissons sans alcool,Boissons
Boissons sans alcool,Boissons gazeuses
Boissons sans alcool,Nectars de pomme
Boissons sans alcool,Thés noirs
Boissons sans alcool,Infusions
Boissons sans alcool,Thés aromatisés
Liquide,Champagnes
Beurres pasteurisés,Beurres demi sel
Beurres pasteurisés,Beurres allégés
Beurres pasteurisés,Beurres moulés
gâteau sec avec chocolat,Chocolate biscuits
Biscuits tablette de chocolat noir,Biscuits tablette de chocolat
Biscuits tablette de chocolat,Biscuits au chocolat blanc
Biscuits tablette de chocolat,Biscuits au chocolat
Biscuits sprits,Biscuits au chocolat au lait
Biscuits sprits,Biscuits
Biscuits sprits,Biscuits sablés
Biscuits cigarettes,Biscuits secs
Biscuits cigarettes,Biscuits
Biscuits nappés au chocolat,Biscuits au chocolat au lait
Biscuits nappés au chocolat,Biscuits au chocolat
Cookies au chocolat au lait,Cookies au chocolat
Confiserie gélifiée aromatisée,Bonbons français
Bières aromatisées,Bières
Bières aromatisées,Lagers
Bières aromatisées,Bières à la chataigne
Bières aromatisées,Bières blanches
Beers,Alcoholic beverages
Bière à 4 5° d'alcool,Bières
Jus multifruits à base de concentrés,Jus multifruits
Jus multifruits à base de concentrés,Jus d'ananas
Jus d'orange à base de concentré,Jus d'orange
Jus d'orange à base de concentré,Boissons à l'orange
Nectars de pomme,Nectars de fruits
Nectars d'orange,Jus de fruits
Nectars d'orange,Boissons sans alcool
Nectars d'orange,Nectars de fruits
Jus multifruits,Jus de fruits
Jus multifruits,Boissons sans alcool
Jus d'orange sans pulpe,Jus d'orange à base de concentré
Jus de pomme,Boissons sans sucre ajouté
Jus de pomme,Concentrés de jus de pommes
Emmentals,Fromages à pâte pressée cuite
Comté,Fromages de France
Comté,Fromages au lait cru
Comté,Fromages pasteurisés
Bleus d'Auvergne,Fromages à pâte persillée français
Bleus d'Auvergne,Fromages pasteurisés
Emmentals râpés,Fromages râpés
Fromage à pâte pressée,Fromage à pâte cuite
fromage,
Fromages labellisés,Fromages AOC
Fromage à pâte molle et croûte fleurie,Fromages à pâte molle à croûte fleurie
Fromage à pâte molle et croûte fleurie,Raclettes
French emmentaler,French cheeses
Miels tropicaux,Boissons avec sucre ajouté
Citronnades,Boissons avec sucre ajouté
Citronnades,Boissons
Boisson rafraichissante,Boissons avec sucre ajouté
Sodas à l'orange light,Sodas aux fruits light
Jus,Sirops aromatisés
Eau tonique,Sodas light
Boisson rafraîchissante aux fruits et à l'eau de source,
Boissons énergisantes,Fruits tropicaux
Boissons énergisantes,Boissons édulcorées
Boissons énergisantes,Boissons sans alcool
Boissons énergisantes,Boissons
The noir saveur peche,Boissons avec sucre ajouté
Boissons au thé,Thés verts
Boissons au thé,Boissons
Thés,Boissons à base de végétaux
Sodas aux fruits,Sodas
Fruit sodas,Sodas
Thés glacés,Boissons au thé
Côtes du Rhône,Vins rosés
Côtes du Rhône,Vins blancs
Côtes du Rhône,Vins français
Côtes du Rhône,Vins rouges
Sel,
Muscat de Rivesaltes,Muscats
Vodkas,Eaux de vie
Vodka,Eaux de vie
Cognac,Eaux de vie
Muscat de samos,Muscats
Porto Tawny,Portos oxydatifs
Rhums agricoles,Rhums
Vins rouges,Vins français
Vins rouges,Vins
Bacon fumé,Bacon
Knacks industrielles,Saucisses de poulet
Knacks industrielles,Saucisses de Strasbourg
Bacon en tranche,Coppa
Bacon en tranche,Bacon fumé
Charcuteries à cuire,Saucisses de Toulouse
Charcuteries à cuire,Chipolatas
Charcuteries à cuire,Lardons de porc fumés
Charcuteries à cuire,Lardons de porc
Charcuteries à cuire,Poitrine de porc
Charcuteries à cuire,Allumettes de bacon
Saucissons à l'ail,Saucissons
Pâtes brisées,Pâtes à tarte
Pâtes feuilletées,Pâtes à tarte
Jambons français,Jambons
Jambons français,Jambons blancs
Croque monsieur,Sandwichs
Croque monsieur,Sandwichs Jambon Fromage
Croque monsieur,Croque monsieur frais
Fromage fondu en tranchettes,Jambon cuit supérieur
Blancs de volaille en tranches,Charcuteries cuites
Saucisses de Strasbourg,Saucisses françaises
Saucisses fumées,Saucisses de Morteau
Saucisses fumées,Saucisses de porc
Saucisses fumées,Saucisses de Francfort
Saucisses fumées,Knacks industrielles
Saucisses fumées,Saucisses de volaille
Saucisses fumées,Saucisses
Industrial knacks,Strasbourg sausages
Industrial knacks,Chicken sausages
Lardons de porc fumés,Lardons de porc
Lardons de porc fumés,Lardons de volaille
Lardons de porc natures,Lardons de porc
Lardons de porc,Allumettes de porc
Pâte feuilletée à la matière grasse végétale,Pâtes feuilletées
Fouets catalans,Saucisses espagnoles
Fouets catalans,Saucissons secs
Charcuteries diverses,Pâtes alimentaires
Charcuteries diverses,Charcuteries
White hams,Hams
Blancs de poulet reconstitués,Blancs de poulet en tranches
Pâtes sablées,Pâtes à tarte
Crème légère stérilisée UHT,Crèmes légères
Crèmes légères,Crèmes fraîches
Crèmes légères,Crèmes
Crèmes légères,Crèmes liquides
Crèmes légères,Crème de lait légère épaisse avec 15 à 20% de matières grasses rayon frais
Crèmes légères,Crèmes fleurettes
Crèmes légères,Crèmes épaisses
Laits de vache,Laits pasteurisés
Laits de vache,Laits entiers
Laits de vache,Laits UHT
Laits de vache,Laits demi écrémés
Laits entiers,Laits frais
Laits entiers,Laits UHT
Laits entiers,Laits pasteurisés
Laits entiers,Laits
Produits laitiers à tartiner,Matière grasse laitière
Crèmes fraîches,Crèmes
Crèmes fraîches,Frais
Crèmes fraîches,Crème Fraîche d'Isigny
Crèmes fraîches,Crèmes liquides
Crèmes fraîches,Crèmes épaisses entières
Crèmes fraîches,Crèmes fleurettes
Crèmes fraîches,Crèmes épaisses
Crèmes fraîches,Crèmes entières
Crèmes fouettées,Crèmes sous pression UHT
Crèmes fouettées,Crèmes sous pression
Light margarines,Margarines
Beurres de crème douce,Beurres pasteurisés
Beurres de crème douce,Beurres
Beurres de crème douce,Matière grasse de beurre
Beurres de crème douce,Beurres moulés
Beurres de crème douce,Beurres doux
Beurre cuisson et tartine,Margarines allégées
Beurres demi sel,Beurres
Beurres demi sel,Matière grasse de beurre
Crèmes semi épaisses,Crèmes légères
Crèmes semi épaisses,Crèmes entières
Crèmes aigres,Crèmes épaisses
Margarines allégées,Beurres
Margarines allégées,Margarines
Crèmes UHT,Crème de lait semi épaisse
Crèmes anglaises,Sauces dessert
Sweet cream butters,Pasteurized butters
Sweet cream butters,Unsalted butters
Sweet cream butters,Molded butters
Lait pasteurisé entier,
Beurres allégés,Beurres
Beurres,Produits laitiers à tartiner
Beurre,Beurre à 60 62% MG à teneur réduite en matière grasse doux
Beurre,Unsalted butters
Beurres demi sel à 60 62% MG à teneur réduite en matière grasse,Beurres demi sel
Beurres demi sel à 60 62% MG à teneur réduite en matière grasse,Beurres allégés
Matières grasses,
Moutardes,Sauces
Corn flakes,Extruded flakes
Corn flakes,Flocons extrudés
Céréales pour petit déjeuner,Céréales et dérivés
Pépites de céréales au chocolat,Pépites de céréales croustillantes
Céréales et dérivés,Céréales et pommes de terre
Flocons de céréales,Flocons
Barres de céréales,Barres
Pétales de céréales au chocolat,Céréales extrudées
Compléments alimentaires,
Répulsif moustiques,
Industrial cheese,Double cream cheeses
Industrial cheese,Pasteurized cheeses
Industrial cheese,Soft cheeses with washed rind
Fromages à pâte molle à croûte lavée,Fromages à pâte molle à croûte naturelle
Fromages à pâte molle à croûte naturelle,Fromages de France
Fromages à pâte molle à croûte naturelle,Soft cheese with a natural rind
Fromages à pâte molle à croûte naturelle,Fromages de chèvre
Franse kazen,Koemelkkazen
Beurres doux,Beurres
Mini beurres,Beurres de crème douce
Mini beurres,Beurres demi sel
Levures boulangères,Levures
Cannelle en poudre,Cannelle
Clous de girofle,Epices
Céleri,Légumes tiges
