Price,Price per Unit,Brand,category,Description,URL
2.57,0.43,AUCHAN SOLIDAIRES BIO CULTIVONS LE BON,Œufs de poules élevées en plein air,Œufs de poules,https://www.auchan.fr/auchan-solidaires-bio-cultivons-le-bon-oeufs-de-poules-elevees-en-plein-air/pr-C1170600
7.22,0.72,LOUE,Œufs fermiers,Oeufs labellisés biologiques,https://www.auchan.fr/loue-oeufs-de-poules-elevees-en-plein-air-bio/pr-C1177853
3.68,14.72,LE GALL,BEURRES & MARGARINES,Beurres de crème douce,https://www.auchan.fr/le-gall-beurre-de-baratte-doux-non-pasteurise-bio-grand-cru/pr-C1171133
3.09,12.36,PRESIDENT,Sweet cream butters,Unsalted butters,https://www.auchan.fr/president-beurre-gastronomique-doux/pr-C1169647
2.92,11.68,ELLE VIRE,fr:Beurres tendres,Butter-82-fat-unsalted-easy-to-spread,https://www.auchan.fr/elle-vire-beurre-tendre-doux/pr-C1160647
2.58,10.32,ELLE VIRE MG,Beurre léger doux à 39-41% MG,Beurres allégés,https://www.auchan.fr/elle-vire-beurre-doux-tendre-leger-41-mg/pr-C1170251
2.61,10.44,ELLE VIRE MG,Beurres de crème douce,Beurres doux,https://www.auchan.fr/elle-vire-beurre-doux-allege-60-mg/pr-C1170257
6.46,12.92,AUCHAN BIO,Beurres de crème douce,Beurres,https://www.auchan.fr/auchan-bio-beurre-moule-doux/pr-C1170452
3.32,13.28,ISIGNY STE MERE AOP,Beurre d'Isigny,Beurres de crème douce,https://www.auchan.fr/isigny-ste-mere-beurre-doux-extra-fin-aop/pr-C1177934
3.48,17.4,ELLE VIRE,Mini-beurres,Beurres de crème douce,https://www.auchan.fr/elle-vire-mini-beurre-doux-gastronomique/pr-C1177993
1.69,6.76,DISCOUNT,Beurres doux,Beurres,https://www.auchan.fr/discount-beurre-doux/pr-C1186605
2.54,10.16,AUCHAN,Matières grasses,,https://www.auchan.fr/auchan-beurre-tendre-doux/pr-C1177193
1.88,15.04,AUCHAN,Beurres de crème douce,Beurres pasteurisés,https://www.auchan.fr/auchan-beurre-doux/pr-C1176241
3.48,13.92,AUCHAN BIO,Beurres de crème douce,Beurres,https://www.auchan.fr/auchan-bio-beurre-doux/pr-C1170678
3.85,15.4,PRESIDENT,Beurres de crème douce,Matière grasse de beurre,https://www.auchan.fr/president-beurre-tendre-doux/pr-C1161744
2.96,11.84,GRAND FERMAGE,Beurres de crème douce,Beurres pasteurisés,https://www.auchan.fr/grand-fermage-beurre-doux-belleville-sur-vie/pr-C1178102
2.69,10.76,PRESIDENT,Beurres de crème douce,Beurres pasteurisés,https://www.auchan.fr/president-beurre-doux/pr-C1174997
2.59,10.36,AUCHAN,Beurres demi-sel,Beurres,https://www.auchan.fr/auchan-beurre-demi-sel/pr-C1177951
